Last connected at,Email,Full name,Access role,Organization,Team,Job title
,clement.coutelet@verkor.com,Clement Coutelet,user,Verkor,,
,olivier.bonniere@raja.fr,Olivier Bonniere,user,Raja,,
,badreddine.lehalali@verkor.com,Badreddine Lehalali,user,Verkor,,
,parth.patel@verkor.com,Parth Patel,user,Verkor,,
,pierre-alexandre.chatelain@verkor.com,Pierre Alexandre Chatelain,user,Verkor,,
,pascal.ardaens@verkor.com,Pascal Ardaens,user,Verkor,,
,steve.herriou@verkor.com,Steve Herriou,user,Verkor,,
,lotfi.moukadem@verkor.com,Lotfi Moukadem,user,Verkor,,
,bruno.fabre@verkor.com,Bruno Fabre,user,Verkor,,
,titouan.bizieux@verkor.com,Titouan Bizieux,user,Verkor,,
,eric_mallet@connect-tech.sncf,Eric Mallet,viewer,Sncf Connect & Tech,sales,
,noman.iqbal@verkor.com,Noman Iqbal,user,Verkor,,
,nathalie.faucqueur@verkor.com,Nathalie Faucqueur,user,Verkor,,
,karen-maria.cherian@verkor.com,Karen Maria Cherian,user,Verkor,,
,evan.nichilo@verkor.com,Evan Nichilo,user,Verkor,,
,cyril.lesage@verkor.com,Cyril Lesage,user,Verkor,,
,teddy.francois@verkor.com,Teddy Francois,user,Verkor,,
,manil.lounissi@verkor.com,Manil Lounissi,user,Verkor,,
,nieun.lee@verkor.com,Nieun Lee,user,Verkor,,
,sami.abdelkafi@verkor.com,Sami Abdelkafi,user,Verkor,,
,sarah.delommez@verkor.com,Sarah Delommez,user,Verkor,,
,muhammad-firdaus.bin-mohd-zahar@verkor.com,Muhammad Firdaus Bin Mohd Zahar,user,Verkor,,
,jeremy.butez@verkor.com,Jeremy Butez,user,Verkor,,
,imane.bourahla@verkor.com,Imane Bourahla,user,Verkor,,
,yann.galibert@verkor.com,Yann Galibert,user,Verkor,,
,lelo.mandiangu@verkor.com,Lelo Mandiangu,user,Verkor,,
,kamil.pilch@verkor.com,Kamil Pilch,user,Verkor,,
,nicolas_archambault@connect-tech.sncf,Nicolas Archambault,viewer,Sncf Connect & Tech,other,
,gregory.landry@verkor.com,Gregory Landry,user,Verkor,,
,ramzi.el-moussaoui@verkor.com,Ramzi El Moussaoui,user,Verkor,,
,c_rochefolle@connect-tech.sncf,Christophe Rochefolle,viewer,Sncf Connect & Tech,,
,theo.ferrat-martin-dit-bertrand@verkor.com,Theo Ferrat Martin Dit Bertrand,user,Verkor,,
,enzo.deudon@verkor.com,Enzo Deudon,user,Verkor,,
,henri.piedbois@verkor.com,Henri Piedbois,user,Verkor,,
,abderrahmane.aliousalah@verkor.com,Abderrahmane Aliousalah,user,Verkor,,
,richard_studer@connect-tech.sncf,Xx Xx,viewer,Sncf Connect & Tech,operations,
,hussein.al-ghorabi@verkor.com,Hussein Al Ghorabi,user,Verkor,,
,raphaele_garinet@connect-tech.sncf,Raphaele Garinet,viewer,Sncf Connect & Tech,marketing,
,baptiste.bonnefond@verkor.com,Baptiste Bonnefond,user,Verkor,,
,ouael.nsir@verkor.com,Ouael Nsir,user,Verkor,,
,fabrice.van-der-veen@verkor.com,Fabrice Van Der Veen,user,Verkor,,
,stephanie_collas@connect-tech.sncf,Stephanie Collas,viewer,Sncf Connect & Tech,other,
,baptiste.jannin@verkor.com,Baptiste Jannin,user,Verkor,,
,marie.vega@verkor.com,Marie Vega,user,Verkor,,
,karine.charnier@raja.fr,Karine Charnier,user,Raja,,
,corentin.coupin@verkor.com,Corentin Coupin,user,Verkor,,
,elisa_bain@connect-tech.sncf,Elisa Bain Bain,viewer,Sncf Connect & Tech,,
,lucas.dhondt@verkor.com,Lucas Dhondt,user,Verkor,,
,eden.chimereze@verkor.com,Eden Chimereze,user,Verkor,,
,ulysse.dorioz@verkor.com,Ulysse Dorioz,user,Verkor,,
,florian.piegay@verkor.com,Florian Piegay,user,Verkor,,
,rachad.hazimeh@verkor.com,Rachad Hazimeh,user,Verkor,,
,wissal.de-feo@verkor.com,Wissal De Feo,user,Verkor,,
,florence_favier@connect-tech.sncf,Florence Favier,viewer,Sncf Connect & Tech,sales,
,sebastien_gobin@connect-tech.sncf,Sébastien Gobin,viewer,Sncf Connect & Tech,it,
,nicolas.derangere@verkor.com,Nicolas Derangere,user,Verkor,,
,johnatan.desoutter@verkor.com,Johnatan Desoutter,user,Verkor,,
,prasanna.natha@verkor.com,Prasanna Natha,user,Verkor,,
,mohamed-ali.ouled-souid@verkor.com,Mohamed Ali Ouled Souid,user,Verkor,,
,guillaume.brosse@verkor.com,Guillaume Brosse,user,Verkor,,
,vijet.shetty@verkor.com,Vijet Shetty,user,Verkor,,
,clement.ebrard@verkor.com,Clement Ebrard,user,Verkor,,
,jeremie.dias@verkor.com,Jeremie Dias,user,Verkor,,
,adrien.lesciellour@verkor.com,Adrien Lesciellour,user,Verkor,,
,julien.portales@verkor.com,Julien Portales,user,Verkor,,
,michael.plouvin@verkor.com,Michael Plouvin,user,Verkor,,
,youssef.chehade@verkor.com,Youssef Chehade,user,Verkor,,
,mustafa.ozdogan@verkor.com,Mustafa Ozdogan,user,Verkor,,
,odylan.leprince@verkor.com,Odylan Leprince,user,Verkor,,
,neha.sharma@verkor.com,Neha Sharma,user,Verkor,,
,pankaj.kumar@verkor.com,Pankaj Kumar,user,Verkor,,
,nicolas.berthelot@verkor.com,Nicolas Berthelot,user,Verkor,,
,david.legros@verkor.com,David Legros,user,Verkor,,
,arnaldo.desousa@raja.fr,Arnaldo Desousa,user,Raja,,
,jungwoo.choi@verkor.com,Jungwoo Choi,user,Verkor,,
,louis.lestideau@verkor.com,Louis Lestideau,user,Verkor,,
,antoine.dufour@verkor.com,Antoine Dufour,user,Verkor,,
,julien.bonnard@verkor.com,Julien Bonnard,user,Verkor,,
,florentin.persyn@verkor.com,Florentin Persyn,user,Verkor,,
,gaelle.soubeyroux@verkor.com,Gaelle Soubeyroux,user,Verkor,,
,muhammad-safwan.bin-rosli@verkor.com,Muhammad Safwan Bin Rosli,user,Verkor,,
,lucas.baude@verkor.com,Lucas Baude,user,Verkor,,
,clara.bruneel@verkor.com,Clara Bruneel,user,Verkor,,
,zoe_paltot@connect-tech.sncf,Zoe Paltot Paltot,viewer,Sncf Connect & Tech,,
,quentin.lemarie@verkor.com,Quentin Lemarie,user,Verkor,,
,alexandre.rosa-moreira-rodrigues@verkor.com,Alexandre Rosa Moreira Rodrigues,user,Verkor,,
,maxence_girard@connect-tech.sncf,Maxence Girard Girard,viewer,Sncf Connect & Tech,,
,bilal.nehme@verkor.com,Bilal Nehme,user,Verkor,,
